pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,releasedate
11 Com b,11 Com,1,2,1,Radial Velocity,2007,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,0.238000,0.007000,-0.007000,0,,,,,G8 III,4874.00,,,0,13.76,2.85,-2.45,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,1.9238000,-1.9238000,4.7230700,0.0230000,-0.0230000,2023-09-19
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,,,,,,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,2018-09-06
14 And b,14 And,1,1,1,Radial Velocity,2008,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,0.000000,,,0,,,,,K0 III,4888.00,,,0,11.55,1.12,-0.51,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,0.7140000,-0.7140000,5.2313300,0.0230000,-0.0230000,2023-09-19
14 Her b,14 Her,1,1,2,Radial Velocity,2002,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,0.373000,0.008000,-0.006000,0,,,,,,,,,,,,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,0.0073000,-0.0073000,6.6193500,0.0230000,-0.0230000,2023-06-12
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,0.680000,0.020000,-0.020000,0,,,,,,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,0.0110000,-0.0111000,6.2150000,0.0160000,-0.0160000,2018-09-06
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,0.060000,0.030000,-0.020000,0,,,,,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,2.5900000,-2.5900000,5.2260600,0.0230000,-0.0230000,2021-10-25
18 Del b,18 Del,1,2,1,Radial Velocity,2008,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,0.024000,0.007000,-0.018000,0,,,,,G6 III,4980.00,,,0,8.80,0.61,-0.40,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,0.6217000,-0.6217000,5.5104800,0.0230000,-0.0230000,2023-09-19
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,,,,,330.000000,,,0,,,,,1700,100,-100,0,K7 V,4060.00,300.00,-200.00,0,,,,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,1.3320000,-1.3070000,12.6180000,0.0690000,-0.0690000,2015-04-01
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,0.032000,0.039000,-0.023000,0,,,,,G3 IV,4816.00,,,0,12.19,1.45,-1.28,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,0.6368500,-0.6368500,5.5900000,0.0010000,-0.0010000,2023-09-19
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,2014-05-14
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,2014-05-14
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,,,,,118.000000,1.300000,-1.300000,0,,,,,1450,50,-50,0,M V,3100.00,100.00,-100.00,0,0.84,0.11,-0.11,0,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.4840000,1.1960000,-1.1740000,16.1860000,1.1330000,-1.1330000,2021-12-13
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,,,,,84.000000,,,0,,,,,,,,,M5.5/M6,,,,,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,,,15.7880000,0.2750000,-0.2750000,2020-09-03
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,M3.5 V,3530.00,50.00,-50.00,0,,,,,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,0.0864000,-0.0860000,14.2440000,0.0740000,-0.0740000,2014-05-14
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,,,,,156.000000,10.000000,-10.000000,0,,,,,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,,,,,,2015-05-14
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,Imaging,2018,,,,,1950.000000,200.000000,-200.000000,0,,,,,,,,,M6 V,,,,,,,,,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.0613000,0.4543000,-0.4482000,18.3000000,0.2000000,-0.2000000,2024-05-13
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,,,,,572.000000,7.000000,-7.000000,0,,,,,2369,21,-5,0,,,,,,,,,,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.4350000,2.3200000,-2.2330000,,,,2024-05-08
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,,,,,15.000000,,,0,,,,,,,,,M8.5,,,,,,,,,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,,,,2014-05-14
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,,,,,266.000000,8.000000,-8.000000,0,,,,,2677,78,-76,0,,,,,,,,,,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,,,,,,,2024-05-08
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,,,,,587.000000,2.000000,-2.000000,0,,,,,2506,2,-2,0,,,,,,,,,,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.8620000,0.6030000,-0.5960000,16.9570000,0.3090000,-0.3090000,2024-05-07
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,,,,,55.000000,,,0,,,,,1250,200,-200,0,M8,,,,,,,,,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,0.6569000,-0.6440000,,,,2016-02-25
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,406.00000000,4.00000000,-4.00000000,0,,,,,0.330000,0.050000,-0.050000,0,,,,,,29564.00,,,0,0.20,0.00,0.00,0,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,6.3885000,-6.3885000,12.6510000,0.2150000,-0.2150000,2022-04-19
